time	3-T
2021-02-21T13:22:14.713Z	915
2021-02-21T13:22:16.713Z	915
2021-02-21T13:22:18.715Z	916
2021-02-21T13:22:20.714Z	918
2021-02-21T13:22:22.715Z	919
2021-02-21T13:22:24.716Z	920
2021-02-21T13:22:26.716Z	921
2021-02-21T13:22:28.716Z	921
2021-02-21T13:22:30.716Z	923
2021-02-21T13:22:32.717Z	924
2021-02-21T13:22:34.718Z	925
2021-02-21T13:22:36.718Z	925
2021-02-21T13:22:38.719Z	927
2021-02-21T13:22:40.719Z	928
2021-02-21T13:22:42.720Z	928
2021-02-21T13:22:44.722Z	929
2021-02-21T13:22:46.722Z	930
2021-02-21T13:22:48.723Z	931
2021-02-21T13:22:50.724Z	932
2021-02-21T13:22:52.723Z	933
2021-02-21T13:22:54.724Z	934
2021-02-21T13:22:56.725Z	935
2021-02-21T13:22:58.725Z	936
2021-02-21T13:23:00.726Z	937
2021-02-21T13:23:02.727Z	938
2021-02-21T13:23:04.727Z	938
2021-02-21T13:23:06.727Z	940
2021-02-21T13:23:08.728Z	940
2021-02-21T13:23:10.728Z	941
2021-02-21T13:23:12.729Z	942
2021-02-21T13:23:14.730Z	943
2021-02-21T13:23:16.730Z	944
2021-02-21T13:23:18.732Z	945
2021-02-21T13:23:20.732Z	945
2021-02-21T13:23:22.733Z	946
2021-02-21T13:23:24.734Z	947
2021-02-21T13:23:26.735Z	948
2021-02-21T13:23:28.736Z	949
2021-02-21T13:23:30.737Z	950
2021-02-21T13:23:32.738Z	950
2021-02-21T13:23:34.739Z	951
2021-02-21T13:23:36.739Z	952
2021-02-21T13:23:38.739Z	953
2021-02-21T13:23:40.740Z	954
2021-02-21T13:23:42.740Z	955
2021-02-21T13:23:44.741Z	955
2021-02-21T13:23:46.741Z	956
2021-02-21T13:23:48.742Z	957
2021-02-21T13:23:50.743Z	957
2021-02-21T13:23:52.743Z	958
2021-02-21T13:23:54.744Z	959
2021-02-21T13:23:56.744Z	960
2021-02-21T13:23:58.743Z	960
2021-02-21T13:24:00.743Z	961
2021-02-21T13:24:02.744Z	962
2021-02-21T13:24:04.745Z	963
2021-02-21T13:24:06.745Z	963
2021-02-21T13:24:08.744Z	964
2021-02-21T13:24:10.745Z	965
2021-02-21T13:24:12.745Z	965
2021-02-21T13:24:14.745Z	966
2021-02-21T13:24:16.745Z	967
2021-02-21T13:24:18.746Z	967
